taskCount;responseTime;userName
18;224;kitty
18;3508;admin
2;624;chivery
60;857;barley
60;177;jaggers
60;210;bounderby
10;413;barley
10;222;deputy
10;241;amy
6;228;amy
6;219;peerybingle
6;234;mogley
6;298;bunsby
6;257;sally
6;268;chivery
6;236;gaspard
41;337;guster
41;399;deputy
11;218;kitty
2;233;petowker
4;194;mogley
7;192;bet
1;193;traddles
2;996;gaspard
1;804;rosa
1;676;admin
6;209;peerybingle
5;177;mogley
18;116;jaggers
18;291;petowker
18;220;chivery
18;258;wickham
1;994;bet
1;812;bet
12;210;rosa
61;177;bounderby
61;237;rosa
5;173;gaspard
42;537;harmon
43;666;alphonse
43;531;alphonse
42;195;admin
43;296;admin
43;483;lightwood
1;187;traddles
30;237;crimp
30;135;jeremiah
3;74;traddles
3;76;deputy
5;213;bazzard
2;426;barley
3;247;petowker
5;167;bazzard
5;187;jaggers
1;190;bazzard
0;71;amy
0;192;david
8;320;jaggers
8;324;jeremiah
2;351;artful
9;129;bunsby
9;267;guster
1;333;bounderby
1;275;cavalletto
6;184;morfin
6;183;david
6;60;jaggers
1;182;lightwood
9;823;sally
10;237;parkes
10;235;sampson
10;284;david
34;490;morfin
36;509;peerybingle
36;477;barley
35;458;sally
36;578;crimp
36;439;bounderby
36;510;deputy
35;691;wickham
36;483;mogley
18;227;bazzard
18;206;guster
18;119;deputy
1;321;artful
11;177;wickham
11;192;rosa
11;204;sampson
11;210;sally
11;248;morfin
11;222;jeremiah
36;578;parkes
36;449;bunsby
36;1055;amy
36;659;david
2;83;bet
2;227;alphonse
2;1089;gabelle
61;175;admin
11;96;admin
2;249;kitty
2;194;admin
78;375;admin
2;192;jaggers
2;85;traddles
2;202;pidger
7;173;bet
2;72;jeremiah
4;284;gabelle
0;263;petowker
1;275;morfin
0;69;bounderby
0;381;jeremiah
37;314;chivery
1;284;sampson
1;462;chivery
1;285;cavalletto
1;274;cavalletto
31;314;traddles
35;323;gaspard
37;413;crimp
3;275;peerybingle
38;289;bet
38;306;peerybingle
1;258;jaggers
0;4128;lightwood
38;348;kitty
1;89;chivery
1;272;chivery
38;547;bounderby
30;1338;traddles
3;387;bounderby
38;328;artful
1;252;guster
38;346;kitty
1;261;sampson
30;532;morfin
30;541;sally
30;598;crimp
30;856;deputy
30;973;jeremiah
30;713;pidger
30;943;morfin
31;353;alphonse
1;498;sally
1;272;parkes
1;249;petowker
38;314;parkes
7;600;admin
75;190;bazzard
1;48;artful
0;176;wickham
8;145;jeremiah
1;202;gabelle
7;171;jaggers
7;168;parkes
75;269;gaspard
4;123;crimp
38;272;traddles
5;457;wickham
38;300;bunsby
1;263;mogley
37;199;cavalletto
76;229;bet
1;148;kitty
76;72;deputy
0;146;harmon
76;231;rosa
76;217;petowker
76;196;david
75;210;gaspard
75;111;pidger
3;158;rosa
1;192;petowker
3;143;bunsby
3;38;jeremiah
3;134;petowker
3;176;morfin
1;436;pidger
31;477;chivery
0;79;barley
0;208;sampson
1;1220;bunsby
0;215;wickham
2;96;jeremiah
0;209;lightwood
1;279;cavalletto
7;415;bazzard
1;281;amy
0;81;bounderby
2;90;rosa
3;90;cavalletto
0;71;lightwood
1;302;david
0;261;bounderby
0;79;morfin
0;76;morfin
0;76;guster
0;293;amy
1;83;lightwood
0;271;harmon
2;105;chivery
1;286;artful
0;281;morfin
0;106;jaggers
0;287;bazzard
0;277;rosa
0;279;petowker
76;221;petowker
76;318;jaggers
3;342;admin
76;182;bunsby
21;338;pidger
21;226;parkes
0;268;crimp
0;286;admin
1;286;peerybingle
0;92;sampson
0;275;jeremiah
0;459;artful
0;434;rosa
1;285;lightwood
0;312;pidger
1;279;cavalletto
1;73;artful
0;65;david
7;394;morfin
7;426;morfin
3;144;deputy
77;249;gabelle
3;29;peerybingle
77;309;gaspard
3;30;traddles
77;197;bounderby
3;28;alphonse
3;31;parkes
77;81;bet
3;148;guster
77;213;bet
21;198;kitty
21;168;amy
33;483;bunsby
32;508;bounderby
77;217;jeremiah
7;401;lightwood
32;2997;peerybingle
0;95;jaggers
0;317;bunsby
0;85;rosa
3;274;jaggers
3;290;lightwood
2;295;jaggers
1;92;jaggers
0;262;morfin
0;216;cavalletto
0;277;sally
0;297;deputy
0;263;jaggers
77;236;petowker
77;373;rosa
77;188;gabelle
77;189;parkes
38;341;morfin
0;284;admin
77;226;morfin
77;211;sally
4;115;david
0;167;jeremiah
0;149;barley
4;118;bounderby
0;162;petowker
0;120;traddles
6;28;artful
6;120;petowker
21;244;rosa
21;239;sally
77;269;peerybingle
77;258;pidger
77;191;crimp
77;232;gabelle
77;209;gaspard
77;109;deputy
77;248;artful
77;369;mogley
77;248;bazzard
77;225;sally
77;315;morfin
77;195;peerybingle
33;545;amy
33;371;guster
33;573;alphonse
33;476;chivery
33;654;bet
1;272;wickham
0;1281;alphonse
1;89;jeremiah
2;1642;guster
1;698;petowker
1;400;petowker
